name,F,M,all,ratio,gender
All,159990140.0,162412587.0,322402727,0.0150277425468,M
James,23044.0,5049727.0,5072771,5.38968402953,M
John,21578.0,5040319.0,5061897,5.45355037558,M
Robert,20055.0,4767995.0,4788050,5.47120266086,M
Michael,21470.0,4243903.0,4265373,5.28658203179,M
Mary,4103935.0,15139.0,4119074,-5.60242735289,F
William,15806.0,3986586.0,4002392,5.53030088974,M
David,12787.0,3525961.0,3538748,5.61947927238,M
Richard,9534.0,2542735.0,2552269,5.58613119558,M
Joseph,10529.0,2519280.0,2529809,5.47759507052,M
Charles,12316.0,2335387.0,2347703,5.24503366507,M
Thomas,8404.0,2254734.0,2263138,5.59207950191,M
Christopher,9365.0,1947979.0,1957344,5.33756836796,M
Daniel,8004.0,1810130.0,1818134,5.42121252816,M
Patricia,1568742.0,4964.0,1573706,-5.75581743592,F
Elizabeth,1561874.0,5107.0,1566981,-5.72302951367,F
Matthew,5393.0,1498203.0,1503596,5.62691985256,M
Jennifer,1455078.0,4809.0,1459887,-5.71232562412,F
George,9915.0,1443869.0,1453784,4.98103283314,M
Linda,1448771.0,3756.0,1452527,-5.95511632846,F
Barbara,1431316.0,4139.0,1435455,-5.84589536701,F
Donald,5566.0,1405550.0,1411116,5.53150730114,M
Paul,5848.0,1372511.0,1378359,5.45829746548,M
Anthony,6954.0,1351350.0,1358304,5.26954233818,M
Mark,4477.0,1334372.0,1338849,5.69726286891,M
Edward,5360.0,1270291.0,1275651,5.46803731198,M
Steven,4451.0,1260654.0,1265105,5.64625712287,M
Kenneth,5330.0,1257723.0,1263053,5.46370698406,M
Margaret,1232653.0,3737.0,1236390,-5.79864088564,F
Andrew,4790.0,1206648.0,1211438,5.529071135,M
Brian,4540.0,1146417.0,1150957,5.53146969338,M
Kevin,5246.0,1128247.0,1133493,5.37095449827,M
Joshua,4792.0,1125231.0,1130023,5.45879576608,M
Susan,1118932.0,2534.0,1121466,-6.09033085602,F
Dorothy,1104280.0,3674.0,1107954,-5.70566783108,F
Ronald,3849.0,1072189.0,1076038,5.62964425776,M
Timothy,4312.0,1047868.0,1052180,5.49311106914,M
Sarah,1040054.0,3284.0,1043338,-5.75796572227,F
Jessica,1031638.0,3559.0,1035197,-5.66942350278,F
Helen,1012712.0,3106.0,1015818,-5.78705143505,F
Nancy,999033.0,2946.0,1001979,-5.8263394931,F
Betty,998065.0,3619.0,1001684,-5.61962065987,F
Jason,4968.0,991561.0,996529,5.29626312438,M
Karen,980322.0,2747.0,983069,-5.87737168201,F
Jeffrey,3492.0,964279.0,967771,5.62090603385,M
Lisa,962293.0,2785.0,965078,-5.84507110472,F
Frank,4609.0,903096.0,907705,5.27781794632,M
Gary,3287.0,896214.0,899501,5.60820392906,M
Ryan,18749.0,858602.0,877351,3.8241650675,M
Sandra,870721.0,2694.0,873415,-5.77829452608,F
Eric,4268.0,851715.0,855983,5.29610663039,M
Anna,851152.0,2700.0,853852,-5.75333895301,F
Nicholas,3054.0,847367.0,850421,5.62568168799,M
Stephen,2933.0,846078.0,849011,5.66458576394,M
Ashley,816948.0,15402.0,832350,-3.97107807423,F
Donna,829458.0,2232.0,831690,-5.91787443092,F
Carol,815035.0,8653.0,823688,-4.54532497548,F
Kimberly,814903.0,4242.0,819145,-5.25803423161,F
Ruth,816053.0,2777.0,818830,-5.68310809551,F
Larry,3560.0,801006.0,804566,5.41610789281,M
Jacob,2103.0,800407.0,802510,5.94175545158,M
Michelle,796579.0,3239.0,799818,-5.50506166817,F
Laura,787080.0,2573.0,789653,-5.72325736179,F
Jonathan,3439.0,775934.0,779373,5.41888673357,M
Amanda,776812.0,2131.0,778943,-5.89860701173,F
Scott,2612.0,765970.0,768582,5.68102679307,M
Raymond,3516.0,761785.0,765301,5.37834038382,M
Emily,754908.0,1651.0,756559,-6.12521472258,F
Melissa,742742.0,2490.0,745232,-5.69806603302,F
Justin,3736.0,740428.0,744164,5.28921287701,M
Deborah,737810.0,1657.0,739467,-6.09867760043,F
Rebecca,734133.0,2102.0,736235,-5.85580093866,F
Stephanie,727682.0,2633.0,730315,-5.62174025907,F
Sharon,719201.0,3057.0,722258,-5.46070683068,F
Brandon,4076.0,713673.0,717749,5.16530875888,M
Kathleen,708768.0,1692.0,710460,-6.03761699036,F
Cynthia,704320.0,1960.0,706280,-5.8842883251,F
Gregory,2856.0,698946.0,701802,5.50015144155,M
Shirley,683829.0,9545.0,693374,-4.27169042919,F
