Language	Code	Edits	Editors	Avg. edits per editor	Edits by mulitlinguals	Multilinguals	Avg. edits per multilingual editor	Total editors	Total multilinguals
Abkhazian	abk	2807	15	187.1333333	1494	7	213.4285714	2562860	279172
Afar	aar	46	4	11.5	9	3	3	2562860	279172
Afrikaans	afr	103652	511	202.8414873	95988	352	272.6931818	2562860	279172
Akan	aka	327	31	10.5483871	240	24	10	2562860	279172
Albanian	sqi	196685	1996	98.53957916	137800	1083	127.2391505	2562860	279172
Amharic	amh	4596	68	67.58823529	4039	45	89.75555556	2562860	279172
Arabic	ara	2178719	18258	119.3295542	655776	4647	141.1181407	2562860	279172
Aragonese	arg	60924	141	432.0851064	58810	103	570.9708738	2562860	279172
Armenian	hye	65797	638	103.130094	29242	301	97.14950166	2562860	279172
Arpitan	frp	8357	28	298.4642857	8090	22	367.7272727	2562860	279172
Assamese	asm	11708	74	158.2162162	8272	36	229.7777778	2562860	279172
Asturian	ast	21525	218	98.73853211	13090	138	94.85507246	2562860	279172
Avaric	ava	602	13	46.30769231	405	8	50.625	2562860	279172
Aymara	aym	453	22	20.59090909	156	10	15.6	2562860	279172
Azerbaijani	aze	149621	1403	106.6436208	78731	638	123.4028213	2562860	279172
Bambara	bam	754	13	58	86	8	10.75	2562860	279172
Bashkir	bak	14703	50	294.06	4944	32	154.5	2562860	279172
Basque	eus	221173	1250	176.9384	158757	606	261.9752475	2562860	279172
Bavarian	bar	32653	352	92.76420455	28932	243	119.0617284	2562860	279172
Belarusian	bel	227568	474	480.1012658	47284	274	172.5693431	2562860	279172
Bengali	ben	147157	1010	145.7	116822	551	212.0181488	2562860	279172
Bikol	bik	850	26	32.69230769	765	23	33.26086957	2562860	279172
Bishnupriya	bpy	751	18	41.72222222	674	11	61.27272727	2562860	279172
Bislama	bis	383	20	19.15	150	13	11.53846154	2562860	279172
Breton	bre	121144	303	399.8151815	94808	185	512.4756757	2562860	279172
Buginese	bug	2783	20	139.15	2276	15	151.7333333	2562860	279172
Bulgarian	bul	1130405	6769	166.9973408	544717	2606	209.024175	2562860	279172
Buriat	bua	262	15	17.46666667	109	9	12.11111111	2562860	279172
Burmese	mya	40958	162	252.8271605	28175	69	408.3333333	2562860	279172
Catalan	cat	1548366	10938	141.5584202	1143570	5161	221.5791513	2562860	279172
Cebuano	ceb	18206	88	206.8863636	16611	64	259.546875	2562860	279172
Central Khmer	khm	33262	289	115.0934256	10972	65	168.8	2562860	279172
Chamorro	cha	556	13	42.76923077	525	9	58.33333333	2562860	279172
Chechen	che	2119	46	46.06521739	877	30	29.23333333	2562860	279172
Cherokee	chr	1393	29	48.03448276	264	16	16.5	2562860	279172
Cheyenne	chy	65	8	8.125	53	6	8.833333333	2562860	279172
Chinese	zho	7302770	50341	145.0660495	3735468	13826	270.1770577	2562860	279172
Choctaw	cho	26	3	8.666666667	14	2	7	2562860	279172
Church Slavic	chu	8706	44	197.8636364	248	22	11.27272727	2562860	279172
Chuvash	chv	2746	88	31.20454545	1679	55	30.52727273	2562860	279172
Cornish	cor	1053	47	22.40425532	791	34	23.26470588	2562860	279172
Corsican	cos	5861	53	110.5849057	5439	39	139.4615385	2562860	279172
Cree	cre	764	17	44.94117647	567	12	47.25	2562860	279172
Creek	mus	9	1	9	9	1	9	2562860	279172
Crimean Tatar	crh	1577	34	46.38235294	582	19	30.63157895	2562860	279172
Czech	ces	1697926	15230	111.4856205	1095385	5336	205.2820465	2562860	279172
Danish	dan	965082	12270	78.65378973	696958	5282	131.9496403	2562860	279172
Dhivehi	div	11788	53	222.4150943	10693	25	427.72	2562860	279172
Dutch	nld	6393791	46951	136.1800814	4084965	18050	226.3138504	2562860	279172
Dzongkha	dzo	80	11	7.272727273	46	7	6.571428571	2562860	279172
Emiliano-Romagnolo	eml	10186	72	141.4722222	9596	55	174.4727273	2562860	279172
English	eng	198361048	1589250	124.8142507	78341211	218320	358.8366206	2562860	279172
Erzya	myv	2148	15	143.2	387	7	55.28571429	2562860	279172
Esperanto	epo	455591	1786	255.0901456	375020	1297	289.1441789	2562860	279172
Estonian	est	366370	3005	121.9201331	267964	1132	236.7173145	2562860	279172
Ewe	ewe	5204	22	236.5454545	5157	18	286.5	2562860	279172
Extremaduran	ext	9161	34	269.4411765	8899	26	342.2692308	2562860	279172
Faroese	fao	7425	132	56.25	6015	85	70.76470588	2562860	279172
Fiji Hindi	hif	13598	111	122.5045045	10142	44	230.5	2562860	279172
Fijian	fij	111	9	12.33333333	53	5	10.6	2562860	279172
Filipino (macrolanguage)	fil	117861	811	145.3279901	66730	535	124.728972	2562860	279172
Finnish	fin	2926115	20811	140.6042478	1823021	7431	245.3264702	2562860	279172
French	fra	23070757	142795	161.56558	12737133	45439	280.312793	2562860	279172
Friulian	fur	7472	66	113.2121212	3053	55	55.50909091	2562860	279172
Fulah	ful	222	11	20.18181818	189	5	37.8	2562860	279172
Galician	glg	246354	1536	160.3867188	162770	876	185.8105023	2562860	279172
Ganda	lug	529	7	75.57142857	7	3	2.333333333	2562860	279172
Georgian	kat	228550	1163	196.5176268	148657	466	319.0064378	2562860	279172
German	deu	33977378	224215	151.5392726	19229693	70281	273.6115451	2562860	279172
Gilaki	glk	14441	88	164.1022727	561	56	10.01785714	2562860	279172
Gothic	got	2133	25	85.32	1579	18	87.72222222	2562860	279172
Guarani	grn	1759	51	34.49019608	1443	35	41.22857143	2562860	279172
Gujarati	guj	75352	297	253.7104377	68982	146	472.4794521	2562860	279172
Haitian	hat	10057	65	154.7230769	9801	43	227.9302326	2562860	279172
Hausa	hau	173	16	10.8125	90	10	9	2562860	279172
Hawaiian	haw	2048	18	113.7777778	1781	11	161.9090909	2562860	279172
Hebrew	heb	5467149	18998	287.7749763	1329466	4555	291.8695939	2562860	279172
Hindi	hin	310187	1431	216.7624039	87515	838	104.4331742	2562860	279172
Hungarian	hun	2713725	18033	150.4866079	1529534	6031	253.6120046	2562860	279172
Icelandic	isl	179477	1193	150.4417435	119333	591	201.9170897	2562860	279172
Ido	ido	46037	76	605.75	44978	66	681.4848485	2562860	279172
Igbo	ibo	2412	14	172.2857143	2110	7	301.4285714	2562860	279172
Iloko	ilo	9242	38	243.2105263	6346	29	218.8275862	2562860	279172
Interlingua (International Auxiliary Language Association)	ina	7971	140	56.93571429	5473	102	53.65686275	2562860	279172
Interlingue	ile	801	23	34.82608696	521	12	43.41666667	2562860	279172
Inuktitut	iku	678	14	48.42857143	78	8	9.75	2562860	279172
Inupiaq	ipk	339	9	37.66666667	35	6	5.833333333	2562860	279172
Irish	gle	83598	431	193.962877	59018	291	202.8109966	2562860	279172
Italian	ita	11923658	72981	163.3803045	6356273	21393	297.1192914	2562860	279172
Japanese	jpn	16149315	102857	157.0074472	4341051	18578	233.6662181	2562860	279172
Javanese	jav	53424	232	230.2758621	50083	150	333.8866667	2562860	279172
Kabyle	kab	4323	50	86.46	3048	40	76.2	2562860	279172
Kalaallisut	kal	4395	32	137.34375	4244	27	157.1851852	2562860	279172
Kalmyk	xal	2652	17	156	2277	13	175.1538462	2562860	279172
Kannada	kan	66924	535	125.0915888	46292	285	162.4280702	2562860	279172
Kanuri	kau	53	6	8.833333333	32	4	8	2562860	279172
Kara-Kalpak	kaa	1612	9	179.1111111	137	5	27.4	2562860	279172
Kashmiri	kas	497	9	55.22222222	118	6	19.66666667	2562860	279172
Kashubian	csb	4278	77	55.55844156	3756	48	78.25	2562860	279172
Kazakh	kaz	189318	586	323.0682594	74898	205	365.3560976	2562860	279172
Kikuyu	kik	47	3	15.66666667	36	2	18	2562860	279172
Kinyarwanda	kin	179	12	14.91666667	126	10	12.6	2562860	279172
Kirghiz	kir	12798	176	72.71590909	6270	56	111.9642857	2562860	279172
Kölsch	ksh	7454	95	78.46315789	2640	64	41.25	2562860	279172
Komi	kom	1463	21	69.66666667	330	11	30	2562860	279172
Kongo	kon	1553	13	119.4615385	1370	8	171.25	2562860	279172
Korean	kor	2634092	16464	159.9910107	1045044	3991	261.8501629	2562860	279172
Kurdish	kur	45967	323	142.3126935	29972	193	155.2953368	2562860	279172
Lak	lbe	459	16	28.6875	102	7	14.57142857	2562860	279172
Lao	lao	3646	74	49.27027027	854	34	25.11764706	2562860	279172
Latin	lat	326569	1375	237.5047273	146178	1016	143.8759843	2562860	279172
Latvian	lav	153766	1582	97.19721871	86576	642	134.8535826	2562860	279172
Ligurian	lij	6943	50	138.86	6745	36	187.3611111	2562860	279172
Limburgan	lim	38901	163	238.6564417	34871	101	345.2574257	2562860	279172
Lingala	lin	3080	11	280	1395	9	155	2562860	279172
Lithuanian	lit	363853	3584	101.5214844	175801	1262	139.3034865	2562860	279172
Lojban	jbo	10878	56	194.25	9928	40	248.2	2562860	279172
Lombard	lmo	36978	147	251.5510204	27148	101	268.7920792	2562860	279172
Low German	nds	83466	195	428.0307692	70608	169	417.7988166	2562860	279172
Lower Sorbian	dsb	453	27	16.77777778	214	16	13.375	2562860	279172
Luxembourgish	ltz	98105	561	174.8752228	87159	310	281.1580645	2562860	279172
Macedo-Romanian	rup	72391	43	1683.511628	67811	32	2119.09375	2562860	279172
Macedonian	mkd	276542	1534	180.2750978	70179	590	118.9474576	2562860	279172
Malagasy	mlg	1760	58	30.34482759	859	41	20.95121951	2562860	279172
Malay (macrolanguage)	msa	969369	11005	88.08441617	691259	4106	168.3533853	2562860	279172
Malayalam	mal	313554	1435	218.5045296	250130	729	343.1138546	2562860	279172
Maltese	mlt	28794	135	213.2888889	27358	93	294.172043	2562860	279172
Manx	glv	340	24	14.16666667	173	15	11.53333333	2562860	279172
Maori	mri	946	51	18.54901961	354	35	10.11428571	2562860	279172
Marathi	mar	289103	614	470.8517915	72147	288	250.5104167	2562860	279172
Mari (Russia)	chm	8214	29	283.2413793	894	15	59.6	2562860	279172
Marshallese	mah	34	2	17	27	1	27	2562860	279172
Mazanderani	mzn	12690	34	373.2352941	3007	24	125.2916667	2562860	279172
Modern Greek (1453-)	ell	721969	6040	119.5312914	395628	2666	148.3975994	2562860	279172
Moksha	mdf	742	11	67.45454545	294	6	49	2562860	279172
Moldavian	mol	3075	44	69.88636364	1235	21	58.80952381	2562860	279172
Mongolian	mon	40808	391	104.3682864	33019	132	250.1439394	2562860	279172
Narom	nrm	6261	18	347.8333333	6074	15	404.9333333	2562860	279172
Nauru	nau	741	17	43.58823529	647	14	46.21428571	2562860	279172
Navajo	nav	4424	21	210.6666667	4227	16	264.1875	2562860	279172
Ndonga	ndo	25	3	8.333333333	10	2	5	2562860	279172
Neapolitan	nap	4732	106	44.64150943	2595	89	29.15730337	2562860	279172
Nepali macrolanguage	nep	32572	209	155.84689	28685	105	273.1904762	2562860	279172
Newari	new	948	33	28.72727273	659	20	32.95	2562860	279172
Northern Sami	sme	9570	60	159.5	7827	38	205.9736842	2562860	279172
Norwegian	nor	1789110	22777	78.54897484	1150691	9112	126.2830334	2562860	279172
Novial	nov	3302	15	220.1333333	2999	12	249.9166667	2562860	279172
Nyanja	nya	133	5	26.6	19	3	6.333333333	2562860	279172
Occitan (post 1500)	oci	112691	177	636.6723164	96802	125	774.416	2562860	279172
Official Aramaic (700-300 BCE)	arc	2152	21	102.4761905	2049	13	157.6153846	2562860	279172
Old English (ca. 450-1100)	ang	9915	86	115.2906977	9504	64	148.5	2562860	279172
Oriya (macrolanguage)	ori	6735	59	114.1525424	5467	40	136.675	2562860	279172
Oromo	orm	1387	10	138.7	1332	8	166.5	2562860	279172
Ossetian	oss	6179	45	137.3111111	5212	21	248.1904762	2562860	279172
Pali	pli	44	5	8.8	4	2	2	2562860	279172
Pampanga	pam	18819	29	648.9310345	18382	15	1225.466667	2562860	279172
Pangasinan	pag	4418	12	368.1666667	4288	8	536	2562860	279172
Panjabi	pan	3378	69	48.95652174	2577	46	56.02173913	2562860	279172
Papiamento	pap	4061	50	81.22	2802	30	93.4	2562860	279172
