SourceLanguageCode	TargetLanguageCode	SourceLanguageName	TargetLanguageName	SourcePopulation	TargetPopulations	Coocurrences	PhiCorrelation	Tstatistic
afr	eng	Afrikaans	English	776	273987	271	0.01364811	17.20714839
afr	nld	Afrikaans	Dutch	776	26888	78	0.01537681	3.33219725
amh	eng	Amharic	English	81	273987	28	0.0043443	5.47671095
ang	eng	Old English (ca. 450-1100)	English	135	273987	51	0.0063625	8.02106695
ara	deu	Arabic	German	6361	103768	446	0.00749744	3.55022368
ara	eng	Arabic	English	6361	273987	3390	0.0687745	86.90660638
ara	fas	Arabic	Persian	6361	4738	167	0.02833908	3.83056659
ara	fra	Arabic	French	6361	69366	793	0.03000112	11.34191613
arg	spa	Aragonese	Spanish	377	58791	63	0.01168043	4.45551138
asm	eng	Assamese	English	146	273987	31	0.00257518	3.24641522
ast	spa	Asturian	Spanish	341	58791	108	0.02263634	8.63627731
aze	eng	Azerbaijani	English	1111	273987	333	0.01299562	16.3843674
aze	rus	Azerbaijani	Russian	1111	35178	185	0.02734723	7.83030713
aze	tur	Azerbaijani	Turkish	1111	10189	179	0.05200421	8.05458996
bar	deu	Bavarian	German	515	103768	199	0.02488081	11.78499475
bar	eng	Bavarian	English	515	273987	104	0.00436031	5.49689526
bel	eng	Belarusian	English	507	273987	117	0.00563863	7.1084697
bel	rus	Belarusian	Russian	507	35178	205	0.04722364	13.53153929
ben	eng	Bengali	English	843	273987	509	0.02916966	36.78850189
bik	eng	Bikol	English	58	273987	15	0.00233578	2.94461195
bre	eng	Breton	English	359	273987	72	0.00358735	4.52243537
bre	fra	Breton	French	359	69366	119	0.02220354	8.39233315
bul	deu	Bulgarian	German	4122	103768	383	0.01067582	5.05540947
bul	eng	Bulgarian	English	4122	273987	1751	0.04129172	52.09899791
bul	mkd	Bulgarian	Macedonian	4122	943	71	0.03527769	2.90381302
bul	rus	Bulgarian	Russian	4122	35178	279	0.01861389	5.3286281
cat	eng	Catalan	English	8075	273987	1847	0.02216541	27.94976991
cat	fra	Catalan	French	8075	69366	495	0.01186055	4.48217581
cat	spa	Catalan	Spanish	8075	58791	3397	0.14936241	57.61686782
ceb	eng	Cebuano	English	139	273987	44	0.00499666	6.29913991
ces	deu	Czech	German	8493	103768	1051	0.02435736	11.53690885
ces	eng	Czech	English	8493	273987	3056	0.04719755	59.56614925
ces	fra	Czech	French	8493	69366	496	0.01113444	4.20773988
ces	jpn	Czech	Japanese	8493	28951	252	0.01002575	3.21552179
ces	pol	Czech	Polish	8493	21517	403	0.02468139	5.35316751
ces	rus	Czech	Russian	8493	35178	324	0.01210364	3.46458019
ces	slk	Czech	Slovak	8493	3485	462	0.08299119	10.27671308
chv	rus	Chuvash	Russian	238	35178	36	0.01139163	3.26074503
cor	eng	Cornish	English	65	273987	23	0.00402475	5.07386109
cos	fra	Corsican	French	66	69366	21	0.00910392	3.44032909
csb	pol	Kashubian	Polish	89	21517	32	0.0226799	4.91883073
cym	eng	Welsh	English	496	273987	273	0.01996915	25.17921078
dan	deu	Danish	German	8164	103768	1000	0.02351801	11.13912724
dan	eng	Danish	English	8164	273987	3546	0.05990479	75.65507445
dan	nor	Danish	Norwegian	8164	13866	493	0.04236678	6.39948118
dan	swe	Danish	Swedish	8164	20863	471	0.03117384	5.4465665
deu	ara	German	Arabic	103768	6361	446	0.00749744	3.55022368
deu	bar	German	Bavarian	103768	515	199	0.02488081	11.78499475
deu	bul	German	Bulgarian	103768	4122	383	0.01067582	5.05540947
deu	ces	German	Czech	103768	8493	1051	0.02435736	11.53690885
deu	dan	German	Danish	103768	8164	1000	0.02351801	11.13912724
deu	ell	German	Modern Greek (1453-)	103768	3789	408	0.0131171	6.21163142
deu	eng	German	English	103768	273987	49637	0.24693413	321.2467261
deu	epo	German	Esperanto	103768	2310	264	0.01124557	5.32523998
deu	est	German	Estonian	103768	1956	199	0.00858802	4.06667693
deu	fin	German	Finnish	103768	11484	1280	0.02415693	11.44191727
deu	fra	German	French	103768	69366	9236	0.07840895	37.24218752
deu	hbs	German	Serbo-Croatian	103768	7389	774	0.0175312	8.30249942
deu	heb	German	Hebrew	103768	6538	571	0.01201979	5.6919198
deu	hun	German	Hungarian	103768	9488	1205	0.02675589	12.67375441
deu	isl	German	Icelandic	103768	956	99	0.00618099	2.92682345
deu	ita	German	Italian	103768	33146	3764	0.0424345	20.11133408
deu	jpn	German	Japanese	103768	28951	3155	0.0371413	17.59897179
deu	kor	German	Korean	103768	5941	411	0.00701657	3.3225064
deu	ksh	German	Kí_lsch	103768	117	55	0.01472674	6.97403672
deu	kur	German	Kurdish	103768	373	49	0.00556274	2.63406173
deu	lat	German	Latin	103768	1932	291	0.01534702	7.26784454
deu	lit	German	Lithuanian	103768	1979	178	0.00697504	3.30284013
