Language	Code	TranslationsFrom	TranslationsTo	OutDegree	InDegree
Abaza	abq	10	8	3	1
Abidji	abi	0	6	0	2
Abkhazian	abk	171	115	20	15
Achi	acr	4	2	2	1
Acoli	ach	3	0	3	0
Adioukrou	adj	0	4	0	2
Adyghe	ady	75	50	4	5
Adzera	azr	0	1	0	1
Afar	aar	0	1	0	1
Afrikaans	afr	357	776	26	10
Aghem	agq	0	6	0	2
Aghul	agx	0	1	0	1
Aguaruna	agr	1	1	1	1
Agusan Manobo	msm	0	9	0	2
Ahom	aho	1	0	1	0
Ahtena	aht	1	0	1	0
Ainu (Japan)	ain	1	0	1	0
Aja (Benin)	ajg	0	7	0	1
Ajië	aji	1	1	1	1
Akan	aka	2	2	2	2
Akawaio	ake	0	14	0	1
Akkadian	akk	136	0	24	0
Aklanon	akl	0	3	0	1
Akoose	bss	0	5	0	3
Albanian	sqi	1424	6757	34	50
Algonquin	alq	2	4	2	1
Alu Kurumba	xua	1	0	1	0
Ama (Papua New Guinea)	amm	0	1	0	1
Amarasi	aaz	0	1	0	1
Amganad Ifugao	ifa	0	4	0	3
Amharic	amh	58	317	15	12
Ancient Greek (to 1453)	grc	17342	22	378	8
Aneme Wake	aby	0	1	0	1
Anglo-Norman	xno	10	0	3	0
Angosturas Tunebo	tnd	0	1	0	1
Anindilyakwa	aoi	1	1	1	1
Anmatyerre	amx	1	0	1	0
Anufo	cko	0	3	0	2
Anyin	any	0	7	0	3
Apinayé	apn	0	1	0	1
Arabic	ara	11884	12488	98	76
Aragonese	arg	5	64	3	9
Arandai	jbj	0	1	0	1
Arapaho	arp	3	0	2	0
Arawak	arw	1	1	1	1
Arikapú	ark	1	0	1	0
Arikara	ari	4	0	2	0
Armenian	hye	1100	2139	46	52
Arop-Lokep	apr	0	1	0	1
Arpitan	frp	1	3	1	1
Aruá (Rodonia State)	arx	1	0	1	0
Asháninka	cni	1	1	1	1
Ashéninka Pajonal	cjo	2	1	1	1
Ashéninka Perené	prq	0	2	0	1
Assamese	asm	95	526	13	37
Asturian	ast	73	193	8	18
Ata Manobo	atd	0	4	0	2
Atikamekw	atj	2	3	1	1
Attié	ati	0	1	0	1
Auvergnat	auv	0	1	0	1
Auye	auu	0	1	0	1
Avaric	ava	186	64	34	7
Avestan	ave	17	0	9	0
Awadhi	awa	2	1	2	1
Aymara	aym	7	6	3	2
Azerbaijani	aze	774	1658	38	59
Azhe	yiz	2	224	1	3
Baatonum	bba	0	4	0	1
Bachajón Tzeltal	tzb	0	2	0	1
Bafut	bfd	0	6	0	2
Baka (Cameroon)	bkc	3	0	1	0
Balangao	blw	0	5	0	3
Balanta-Ganja	bjt	0	2	0	1
Baluchi	bal	5	1	4	1
Bambara	bam	29	9	3	1
Bana	bcw	0	7	0	3
Bandjalang	bdy	1	0	1	0
Baniwa	bwi	1	0	1	0
Bantoanon	bno	0	1	0	1
Baoulé	bci	1	0	1	0
Barai	bbb	0	1	0	1
Bardi	bcj	0	1	0	1
Bargam	mlp	0	1	0	1
Basa (Cameroon)	bas	2	3	1	1
Bashkir	bak	357	502	24	16
Basketo	bst	0	1	0	1
Basque	eus	1021	3923	25	38
Batuley	bay	0	2	0	1
Bauzi	bvz	0	1	0	1
Bavarian	bar	1	2	1	2
Bedik	tnr	1	0	1	0
Beembe	beq	5	0	2	0
Belarusian	bel	1409	1874	49	54
Belize Kriol English	bzj	2	0	2	0
Bemba (Democratic Republic of Congo)	bmy	0	1	0	1
Bemba (Zambia)	bem	0	1	0	1
Bench	bcq	0	3	0	2
Bengali	ben	2223	1878	64	55
Berta	wti	0	2	0	1
Bhele	bhy	0	3	0	1
Bhojpuri	bho	2	0	2	0
Biali	beh	0	14	0	2
Bikol	bik	0	2	0	2
Bimoba	bim	0	9	0	2
Binukid	bkd	0	4	0	2
Bislama	bis	2	2	2	2
Bissa	bib	0	12	0	3
Bontok	bnc	0	13	0	2
Botolan Sambal	sbl	0	1	0	1
Bouyei	pcc	0	3	0	1
Brahui	brh	1	1	1	1
Braj	bra	11	2	6	1
Breton	bre	212	406	14	27
Brooke's Point Palawano	plw	3	2	3	2
Buamu	box	0	30	0	3
Budu	buu	0	3	0	1
Buduma	bdm	13	3	1	1
Buginese	bug	1	0	1	0
Bukiyip	ape	0	1	0	1
Bulgarian	bul	3667	25742	57	77
Buli (Ghana)	bwu	0	4	0	1
Bulu (Cameroon)	bum	2	2	1	1
Burarra	bvr	3	3	1	2
Buriat	bua	128	47	10	3
Burji	bji	0	1	0	1
Burmese	mya	60	274	12	15
Burushaski	bsk	1	0	1	0
Cahuilla	chl	1	0	1	0
Caló	rmr	1	4	1	2
Cameroon Mambila	mcu	1	12	1	3
Canela	ram	1	0	1	0
Capanahua	kaq	2	0	1	0
Caquinte	cot	1	0	1	0
Caribbean Hindustani	hns	22	2	1	2
Caribbean Javanese	jvn	9	6	1	2
Cashinahua	cbs	1	0	1	0
Catalan	cat	8328	18004	46	64
Catawba	chc	1	0	1	0
Cayuga	cay	0	2	0	1
Cebaara Senoufo	sef	1	0	1	0
Cebuano	ceb	3	11	2	4
Central Atlas Tamazight	tzm	49	11	6	3
